Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Categories,Tags,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
simple,DIS01105,Distributeur à savon à fixer,1,0,visible,"Matière : Acier inoxydable/Verre mat. Finitions : Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé. Dimensions (L x P x H mm) : 100 x 145 x 60.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-brosse-salle-bain-bakri-dis01105-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-brosse-salle-bain-bakri-dis01105-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-brosse-salle-bain-bakri-dis01105-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé",1,0,Matière,Acier inoxydable/Verre mat,1,0,Dimensions (mm),100 x 145 x 60,1,0
simple,DIS11708,Distributeur à savon à fixer,1,0,visible,"Matière : Laiton/Verre mat. Finitions : Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé. Dimensions (L x P x H mm) : 100 x 145 x 60.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-bronze-salle-bain-bakri-dis11708-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-bronze-salle-bain-bakri-dis11708-visuel-1.jpg, https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-bronze-salle-bain-bakri-dis11708-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé",1,0,Matière,Laiton/Verre mat,1,0,Dimensions (mm),100 x 145 x 60,1,0
simple,DIS11814,Distributeur à savon à fixer,1,0,visible,"Matière : Laiton/Verre mat. Finitions : Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé. Dimensions (L x P x H mm) : 100 x 145 x 60.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-anthracite-salle-bain-bakri-dis11814-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-anthracite-salle-bain-bakri-dis11814-visuel-1.jpeg, https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-anthracite-salle-bain-bakri-dis11814-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé",1,0,Matière,Laiton/Verre mat,1,0,Dimensions (mm),100 x 145 x 60,1,0
simple,DIS11915,Distributeur à savon à fixer,1,0,visible,"Matière : Laiton/Verre mat. Finitions : Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé. Dimensions (L x P x H mm) : 100 x 145.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-dore-salle-bain-bakri-dis11915-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-dore-salle-bain-bakri-dis11915-visuel-1.jpg, https://www.creactive-paris.fr/wp-content/uploads/2023/10/distributeur-savon-dore-salle-bain-bakri-dis11915-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé",1,0,Matière,Laiton/Verre mat,1,0,Dimensions (mm),100 x 145,1,0
simple,DRL01125,Dérouleur simple,1,0,visible,"Matière : Acier inoxydable. Finitions : Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé. Dimensions (L x P x H mm) : 70.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01125-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01125-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01125-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé",1,0,Matière,Acier inoxydable,1,0,Dimensions (mm),70,1,0
simple,DRL11712,Dérouleur simple,1,0,visible,"Matière : Laiton. Finitions : Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé. Dimensions (L x P x H mm) : 70.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-bakri-drl11712-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-bakri-drl11712-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-bakri-drl11712-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé",1,0,Matière,Laiton,1,0,Dimensions (mm),70,1,0
simple,DRL11808,Dérouleur simple,1,0,visible,"Matière : Laiton. Finitions : Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé. Dimensions (L x P x H mm) : 70.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-anthracite-salle-bain-bakri-drl11808-fiche-technique-pdf.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-anthracite-salle-bain-bakri-drl11808-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-anthracite-salle-bain-bakri-drl11808-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Anthracite- brossé, Doré- brossé, Bronze- brossé, Inox- brossé",1,0,Matière,Laiton,1,0,Dimensions (mm),70,1,0
simple,DRL11902,Dérouleur simple,1,0,visible,"Matière : Laiton. Finitions : Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé. Dimensions (L x P x H mm) : 70 x 55.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-dore-salle-bain-bakri-drl11902-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-dore-salle-bain-bakri-drl11902-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-dore-salle-bain-bakri-drl11902-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Doré- brossé, Bronze- brossé, Anthracite- brossé, Inox- brossé",1,0,Matière,Laiton,1,0,Dimensions (mm),70 x 55,1,0
simple,DRL01127,Dérouleur simple avec couvercle,1,0,visible,"Matière : Acier inoxydable. Finitions : Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé. Dimensions (L x P x H mm) : 137 x 90 x 143.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01127-fiche-technique-1.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01127-visuel-1.png, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-brosse-salle-bain-bakri-drl01127-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Inox- brossé, Doré- brossé, Bronze- brossé, Anthracite- brossé",1,0,Matière,Acier inoxydable,1,0,Dimensions (mm),137 x 90 x 143,1,0
simple,DRL11702,Dérouleur simple avec couvercle,1,0,visible,"Matière : Laiton. Finitions : Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé. Dimensions (L x P x H mm) : 140 x 80 x 155.","Pourquoi ne pas vous laisser séduire par les finitions métalliques satinées de la gamme BAKRI ?

Réalisée en PVD, ces coloris anthracite, cuivré, doré ou brossé se combinent aux tendances les plus actuelles et permettent de créer des ambiances haut de gamme et feutrées.

Fiche technique : https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-drl11702-fiche-technique.pdf.pdf",CreaMust > Bakri,"CreaMust, Bakri, Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé","https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-bakri-drl11702-visuel-1.jpg, https://www.creactive-paris.fr/wp-content/uploads/2023/10/derouleur-papier-toilette-bronze-salle-bain-bakri-drl11702-croquis-1.jpg",Collection,CreaMust,1,0,Gamme,Bakri,1,0,Finitions,"Bronze- brossé, Doré- brossé, Anthracite- brossé, Inox- brossé",1,0,Matière,Laiton,1,0,Dimensions (mm),140 x 80 x 155,1,0
